agricultureStructureIndicator,asOfDate,basementEnclosureCrawlspaceType,policyCount,crsClassificationCode,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,baseFloodElevation,ratedFloodZone,houseWorship,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,primaryResidenceIndicator,buildingDamageAmount,buildingDeductibleCode,netBuildingPaymentAmount,buildingPropertyValue,causeOfDamage,condominiumCoverageTypeCode,contentsDamageAmount,contentsDeductibleCode,netContentsPaymentAmount,contentsPropertyValue,disasterAssistanceCoverageRequired,eventDesignationNumber,ficoNumber,floodCharacteristicsIndicator,floodWaterDuration,floodproofedIndicator,floodEvent,iccCoverage,netIccPaymentAmount,nfipRatedCommunityNumber,nfipCommunityNumberCurrent,nfipCommunityName,nonPaymentReasonContents,nonPaymentReasonBuilding,numberOfUnits,buildingReplacementCost,contentsReplacementCost,replacementCostBasis,stateOwnedIndicator,waterDepth,floodZoneCurrent,buildingDescriptionCode,rentalPropertyIndicator,state,reportedCity,reportedZipCode,countyCode,censusTract,censusBlockGroupFips,latitude,longitude,id
False,2026-01-12T00:00:00.000Z,,1,,1985-08-31T00:00:00.000Z,False,,,,A08,False,3.0,,,1.0,False,10.0,1,1959-07-01T00:00:00.000Z,1985-07-02T00:00:00.000Z,2325.0,437.5,0.0,False,1,False,21300,4300,1985,False,2825.0,0,2325.0,60750.0,1,N,937.0,0,437.5,0.0,0.0,,527.0,,0.0,False,Hurricane Elena,,0.0,120155,,,,,0,0.0,0.0,R,False,1.0,,,False,FL,Currently Unavailable,34208,12081,12081000704,120810007042,27.5,-82.5,29881294-22bc-43a3-a12e-1a9f0bcac7f1
False,2026-01-12T00:00:00.000Z,,1,,2008-08-19T00:00:00.000Z,False,,2.0,6.0,AE,False,3.0,4.0,7.5,1.0,False,,1,1999-07-01T00:00:00.000Z,2000-05-20T00:00:00.000Z,10295.4,804.75,0.0,True,1,False,250000,85600,2008,True,10796.0,1,10295.4,326942.0,4,N,1305.0,1,804.75,0.0,0.0,,220.0,,0.0,False,Tropical Storm Fay,30000.0,0.0,120119,,,,,1,412046.0,0.0,R,False,3.0,,1.0,False,FL,Currently Unavailable,32963,12061,12061050503,120610505032,27.6,-80.3,b2992f73-256f-406f-adef-f49182580a42
False,2026-01-12T00:00:00.000Z,,1,,2008-09-12T00:00:00.000Z,False,1,,,X,False,3.0,,,1.0,False,,1,1962-01-01T00:00:00.000Z,1998-07-26T00:00:00.000Z,,,,False,7,False,250000,100000,2008,True,,0,0.0,,4,N,,0,0.0,,0.0,,668.0,,0.0,False,Hurricane Ike,30000.0,0.0,480296,,,20,20,1,,,R,False,1.0,,,False,TX,Currently Unavailable,77024,48201,48201430800,482014308001,29.8,-95.5,2325bc20-cb3e-411d-b69a-591270b73cb7
False,2026-01-12T00:00:00.000Z,,1,,1996-09-27T00:00:00.000Z,False,,,,X,False,3.0,,,1.0,False,10.0,1,1977-01-01T00:00:00.000Z,1994-12-05T00:00:00.000Z,2063.98,0.0,0.0,True,1,False,50000,12000,1996,False,2564.0,0,2063.98,50170.0,2,N,,0,0.0,,0.0,,,,0.0,False,,15000.0,0.0,280053,,,,,1,61940.0,,A,False,1.0,,,False,MS,Currently Unavailable,39402,28073,28073020302,280730203023,31.3,-89.4,3e37161d-6ee4-407b-a9cd-17b1533c14d7
False,2026-01-12T00:00:00.000Z,,1,,1979-05-04T00:00:00.000Z,False,,,,,False,3.0,,,1.0,False,10.0,1,1492-10-12T00:00:00.000Z,1979-03-06T00:00:00.000Z,5372.98,2549.5,0.0,False,1,False,35000,10000,1979,False,5624.0,,5372.98,40000.0,1,N,3183.0,,2549.5,17500.0,0.0,,,,0.0,False,,,0.0,220036,,,,,1,0.0,0.0,A,False,1.0,,,False,LA,Currently Unavailable,71118,22017,22017024106,220170241065,32.4,-93.8,9470c0c5-bc21-49de-a787-221ce20e332a
False,2026-01-12T00:00:00.000Z,,1,,2001-09-14T00:00:00.000Z,True,,,,A,False,3.0,,,1.0,False,10.0,1,1982-01-01T00:00:00.000Z,1986-08-04T00:00:00.000Z,2684.01,0.0,0.0,False,1,False,43800,17200,2001,True,4421.0,1,2684.01,126360.0,4,N,,1,0.0,,0.0,,161.0,,0.0,False,Torrential rain,20000.0,0.0,120072,,,,,0,156000.0,,A,False,-6.0,,,False,FL,Currently Unavailable,34266,12027,12027010101,120270101013,27.3,-81.9,e6ef2f10-0bf5-40f8-be52-72057d8a8f4c
False,2026-01-12T00:00:00.000Z,,1,,2002-09-25T00:00:00.000Z,True,,2.0,3.0,AHB,False,6.0,2.0,4.9,5.0,False,15.0,1,1996-10-01T00:00:00.000Z,2001-08-20T00:00:00.000Z,1539.02,0.0,0.0,True,1,False,10300,7600,2002,False,2447.0,0,1539.02,43165.0,4,N,,0,0.0,,0.0,,635.0,,0.0,False,Tropical Storm Isidore,20000.0,0.0,225206,,,,,1,45920.0,,A,False,0.0,,,False,LA,Currently Unavailable,70360,22109,22109000300,221090003001,29.6,-90.8,3c4bf7b6-6be2-4501-b222-8908fd7474ea
False,2026-01-12T00:00:00.000Z,,1,,1980-02-16T00:00:00.000Z,False,,,,,False,4.0,,,3.0,False,10.0,1,1492-10-12T00:00:00.000Z,1977-04-07T00:00:00.000Z,320.0,0.0,0.0,False,1,False,35000,10000,1980,False,520.0,,320.0,148400.0,1,N,,,0.0,,0.0,,,,0.0,False,,,0.0,065043,,,97,,1,0.0,,R,False,1.0,,,False,UN,Currently Unavailable,,,06037800504,060378005041,34.1,-118.7,4f26e79e-0bf8-4ea1-87ca-857805e6a2c9
False,2026-01-12T00:00:00.000Z,,1,,2012-10-29T00:00:00.000Z,True,,2.0,7.0,AE,False,,4.8,9.0,2.0,False,15.0,1,2004-10-01T00:00:00.000Z,2011-08-31T00:00:00.000Z,13034.74,0.0,0.0,True,1,False,250000,0,2012,True,14035.0,1,13034.74,417147.0,4,N,,,0.0,,0.0,,305.0,,0.0,False,Hurricane Sandy,30000.0,0.0,340369,,,,,1,518831.0,,A,False,3.0,,1.0,False,NJ,Currently Unavailable,08721,34029,34029731002,340297310022,39.9,-74.1,4450dc34-0e9a-46b1-b1f0-72e97a01efae
False,2026-01-12T00:00:00.000Z,0.0,1,,2022-09-29T00:00:00.000Z,False,3,,,AE,False,,6.4,6.9,1.0,False,,11,1952-10-10T00:00:00.000Z,2006-04-08T00:00:00.000Z,30000.0,0.0,0.0,False,RatingEngine,False,33000,0,2022,True,33875.0,2,30000.0,109527.0,1,N,0.0,,0.0,0.0,0.0,FL0222,,,,False,Hurricane Ian,30000.0,0.0,120072,120072,DESOTO COUNTY*,,,1,131096.0,0.0,A,False,3.0,AE,,False,FL,Currently Unavailable,34269,12027,12027010403,120270104031,27.1,-82.0,07a9ef5d-6987-407d-b9d9-033237f64897
False,2026-01-12T00:00:00.000Z,0.0,1,,2015-07-06T00:00:00.000Z,True,,,,AE,False,,,,2.0,False,50.0,1,1983-01-01T00:00:00.000Z,2008-11-21T00:00:00.000Z,10936.24,0.0,0.0,False,1,False,127800,0,2015,True,15005.0,5,10936.24,102426.0,4,N,,,0.0,,0.0,,,,0.0,False,,30000.0,0.0,320019,320019,WASHOE COUNTY*,,,0,138958.0,,R,False,1.0,AE,1.0,False,NV,Currently Unavailable,89506,32031,32031002618,320310026182,39.7,-119.8,ccbd9a35-484c-4d2f-abf3-32fae15be291
False,2026-01-12T00:00:00.000Z,2.0,1,,1997-04-06T00:00:00.000Z,False,,,,A,False,2.0,,,3.0,False,10.0,1,1947-06-01T00:00:00.000Z,1995-05-03T00:00:00.000Z,72153.59,16845.01,0.0,False,1,False,81000,30000,1997,False,56179.0,9,72153.59,83639.0,2,N,17596.0,9,16845.01,0.0,0.0,,108.0,,0.0,False,Flooding,,0.0,270392,,,,,1,87277.0,0.0,R,False,4.0,,,False,MN,Currently Unavailable,56283,27127,27127750200,271277502001,44.6,-95.1,9d66a03b-e0c4-45ee-a4c6-55ad8280a455
False,2026-01-12T00:00:00.000Z,,1,,1999-10-15T00:00:00.000Z,False,,1.0,,AHB,False,3.0,,,1.0,False,10.0,1,1979-01-01T00:00:00.000Z,1993-08-31T00:00:00.000Z,,,,True,1,False,81500,40800,1999,False,,0,0.0,,4,N,,0,0.0,,0.0,,631.0,,0.0,False,Hurricane Irene,15000.0,0.0,120635,,,20,,1,,,R,False,0.0,,,False,FL,Currently Unavailable,33186,12086,12086018900,120860189004,25.7,-80.4,bc52c701-8062-4e1e-8de5-fa20e397e5a9
False,2026-01-12T00:00:00.000Z,,1,,1989-09-22T00:00:00.000Z,False,,0.0,,A13,False,,,,2.0,False,10.0,1,1985-10-01T00:00:00.000Z,1985-11-19T00:00:00.000Z,3421.0,0.0,0.0,True,1,False,102600,0,1989,False,3921.0,0,3421.0,82800.0,4,N,,0,0.0,,0.0,,554.0,,0.0,False,Hurricane Hugo,,0.0,455412,,,,,0,0.0,,R,False,50.0,,,False,SC,Currently Unavailable,29412,45019,45019002002,450190020021,32.7,-80.0,97bc31d7-8a0b-4a55-a3ff-71b4a7f35042
False,2026-01-12T00:00:00.000Z,,1,,2017-08-27T00:00:00.000Z,False,,,,AE,False,3.0,,,1.0,False,,11,1957-01-01T00:00:00.000Z,2010-09-02T00:00:00.000Z,29800.0,4300.0,0.0,False,RatingEngine,False,41000,6000,2017,True,82012.0,G,29800.0,178019.0,2,N,22878.0,1,4300.0,22878.0,,,682.0,,0.0,False,Hurricane Harvey,30000.0,0.0,485479,485479,"HITCHCOCK, CITY OF",,,1,231193.0,0.0,A,False,2.0,AE,1.0,False,TX,Currently Unavailable,77563,48167,48167723200,481677232001,29.4,-95.0,c068418c-42c8-4bac-a9a1-6330d92f2882
False,2026-01-12T00:00:00.000Z,,1,,2012-10-30T00:00:00.000Z,False,,,,AE,False,,,,3.0,False,,3,1943-05-16T00:00:00.000Z,2011-11-10T00:00:00.000Z,7274.99,0.0,0.0,False,1,False,250000,0,2012,False,9275.0,2,7274.99,167638.0,4,N,,,0.0,,0.0,,305.0,,0.0,False,Hurricane Sandy,30000.0,0.0,340222,,,,,1,478968.0,,A,False,4.0,,1.0,False,NJ,Currently Unavailable,07030,34017,34017019100,340170191002,40.7,-74.0,41a96677-44a3-4308-9b0a-9158221dadb0
False,2026-01-12T00:00:00.000Z,,1,,2012-10-29T00:00:00.000Z,True,,0.0,10.0,A08,False,4.0,6.5,10.0,2.0,False,10.0,1,1948-07-01T00:00:00.000Z,2011-09-29T00:00:00.000Z,92827.57,25168.11,0.0,False,B,False,250000,43100,2012,True,93828.0,F,92827.57,243910.0,0,N,26169.0,F,25168.11,0.0,0.0,,305.0,,0.0,False,Hurricane Sandy,30000.0,0.0,340315,340315,"MONMOUTH BEACH, BOROUGH OF",,,1,307790.0,0.0,R,False,4.0,A08,1.0,False,NJ,Currently Unavailable,07750,34025,34025804100,340258041003,40.3,-74.0,82d3d06f-1bc3-42af-ba3e-ec1f949108ef
False,2026-01-12T00:00:00.000Z,,1,,1980-04-12T00:00:00.000Z,False,,,,A08,False,,,,1.0,False,10.0,1,1492-10-12T00:00:00.000Z,1980-02-05T00:00:00.000Z,9207.14,0.0,0.0,False,1,False,12000,0,1980,False,9408.0,0,9207.14,34900.0,1,N,,,0.0,,0.0,,,,0.0,False,,,0.0,220058,,,,,1,0.0,,A,False,1.0,,,False,LA,Currently Unavailable,70737,22005,,,30.2,-90.9,5273ff9e-2978-47da-ada5-7aef06a5afa4
False,2026-01-12T00:00:00.000Z,,1,7.0,2016-10-08T00:00:00.000Z,True,,2.0,7.0,AE,False,4.0,3.7,8.8,3.0,False,15.0,1,2001-11-08T00:00:00.000Z,2001-12-21T00:00:00.000Z,14719.94,0.0,0.0,True,1,False,250000,26200,2016,False,15969.0,F,14719.94,274316.0,1,N,,F,0.0,,0.0,,681.0,,0.0,False,Hurricane Matthew,30000.0,0.0,375348,375348,DARE COUNTY*,20,,1,318954.0,,A,False,,VE,1.0,False,NC,Currently Unavailable,27936,37055,37055970502,370559705022,35.2,-75.6,20d78a05-fc92-4235-a810-6efcf337067e
